Word,Length,LgSUBTLWF,Concreteness_Rating,Semantic_Neighborhood_Density,Age_Of_Acquisition,BG_Sum
market,6,3.27,4.7,0.68,7.16,7167
martial,7,2.47,2.43,0.62,11.11,14609
milky,5,1.98,3.52,0.49,6.32,3003
mind,4,4.39,2.5,0.67,5.37,10029
minister,8,2.97,4.22,0.64,7.42,26666
mix,3,2.92,3.82,0.65,5.11,1419
mobile,6,2.58,2.93,0.65,8.72,6787
model,5,3.21,4.53,0.68,5.83,5834
money,5,4.51,4.54,0.68,5.11,8081
mood,4,3.24,1.75,0.59,6.58,2425
move,4,4.33,3.25,0.69,4.62,3406
movie,5,3.8,4.59,0.67,3.56,3525
much,4,4.7,1.69,0.7,4.58,2317
musical,7,2.83,3.72,0.67,7.28,10681
nail,4,2.98,4.93,0.55,5.42,3778
nervous,7,3.54,1.85,0.59,6.79,12053
news,4,3.92,3.41,0.67,6.16,2696
next,4,4.36,2.56,0.7,4.35,3003
nice,4,4.52,2.18,0.61,3.95,5442
north,5,3.51,4.14,0.68,6.55,5879
office,6,4.02,4.93,0.68,6.68,5327
often,5,3.47,2.5,0.7,6.53,8571
oil,3,3.32,4.93,0.66,7.33,1782
olive,5,2.58,4.9,0.58,6.68,6820
one,3,5.2,3.97,0.7,3.23,6881
orange,6,3.06,4.66,0.65,3.26,14477
outer,5,2.67,3.74,0.63,7.32,13174
over,4,4.83,2.46,0.7,5.57,8604
pack,4,3.35,3.83,0.62,6.55,3504
pan,3,2.8,4.86,0.61,4.72,4581
park,4,3.57,4.74,0.67,4.47,4333
parts,5,3.18,#,0.68,5.11,6072
pass,4,3.74,2.71,0.67,5.39,4121
peanut,6,2.8,4.89,0.55,5,8174
people,6,4.75,4.82,0.69,3.52,6849
person,6,4.04,4.72,0.68,4.67,14682
phone,5,4.14,4.86,0.64,4.11,8627
pick,4,4.01,3.82,0.63,5.26,4055
pie,3,3.17,4.92,0.57,3.67,2074
pig,3,3.3,5,0.59,3.84,1639
pilot,5,3.13,4.67,0.66,6.32,4627
piss,4,3.08,4.73,0.3,7.56,5151
plastic,7,2.98,4.79,0.62,5.11,14882
polar,5,2.13,3.18,0.59,8.16,7357
polish,6,2.69,4.23,0.65,8.06,9175
political,9,3.05,1.83,0.67,9.83,19234
pool,4,3.38,4.77,0.64,5.15,3299
post,4,3.22,4.3,0.68,8.11,5485
potter,6,3.02,4.12,0.6,8.45,13209
pressure,8,3.43,3.07,0.66,8.95,18702
prime,5,2.97,2.48,0.66,8.83,6845
pubic,5,1.79,4.07,0.36,10.47,3681
question,8,4.01,3.36,0.67,6.16,20890
race,4,3.5,3.59,0.66,6,6206
ready,5,4.3,2.07,0.65,5.53,7558
register,8,2.75,3.87,0.61,8.63,22435
remote,6,2.85,3.44,0.64,7.05,11817
rid,3,3.49,2.13,0.57,6.79,3720
rings,5,3.18,#,0.62,4.53,13961
road,4,3.76,4.75,0.66,4.55,3614
roast,5,2.7,4.4,0.46,8.5,7580
robin,5,3.11,4.61,0.64,6.69,10013
rocking,7,2.35,3.37,0.45,3.22,14974
role,4,2.97,2.19,0.69,6.65,6857
roller,6,2.47,4.66,0.58,6.65,14636
run,3,4.25,4.31,0.69,4.47,2520
salad,5,2.94,4.97,0.51,5.61,6870
sale,4,3.11,3.37,0.65,6.76,7216
Santa,5,3.38,#,0.65,#,9114
sauce,5,2.9,4.75,0.56,5.37,3280
science,7,3.28,2.79,0.66,7.32,9962
scout,5,2.82,4,0.61,6.94,5967
search,6,3.39,3,0.67,8.72,8760
security,8,3.68,2.82,0.67,8.06,11097
see,3,5.12,3.21,0.7,3.06,2901
sense,5,3.83,2.61,0.67,7.32,9734
set,3,4.07,3.41,0.7,6,3385
sewing,6,2.3,4.4,0.5,6.11,13622
shirt,5,3.37,4.94,0.57,3.53,4193
shoulders,9,2.78,#,0.56,4.5,15760
shut,4,4.13,3.38,0.62,4.89,2527
shuttle,7,2.45,4.63,0.59,8.37,7035
sign,4,3.83,4.62,0.67,4.32,2760
six,3,4.01,3.43,0.69,5.25,1745
slow,4,3.59,3.28,0.65,4.15,2585
smart,5,3.69,1.75,0.62,5.5,6174
snow,4,3.2,4.85,0.64,4.11,1652
social,6,3.23,2.27,0.67,10.43,6601
soda,4,3.01,4.97,0.55,4.42,1851
soft,4,3.21,3.88,0.64,3.95,1142
solar,5,2.38,4,0.63,9.05,7064
sore,4,2.88,3.23,0.43,5.84,8078
speed,5,3.32,3.62,0.66,5.11,7847
