"code","task","A1_B1","A1_B2","A2_B1","A2_B2","trial","type","age","Gender","Ethnicity","education","languages","Language","first.language","Disorders","Device","Distraction","Honesty"
40608,2,10,10,10,10,3,"lenient",20,"female","Chinese","jc",2,"Chinese","yes","no","computer","not significant","no"
40612,1,5,5,5,1,3,"strict",18,"female","Chinese","jc",2,"1","yes","no","computer","no","no"
40612,1,5,5,5,1,3,"lenient",18,"female","Chinese","jc",2,"1","yes","no","computer","no","no"
40613,2,10,9,10,9,3,"strict",19,"female","Chinese","prefer not",2,"Chinese","yes","no","computer","yes","no"
40613,2,10,10,10,9,3,"lenient",19,"female","Chinese","prefer not",2,"Chinese","yes","no","computer","yes","no"
40615,1,3,3,3,4,3,"strict",18,"female","Chinese","jc",2,"Chinese","no","no","computer","yes","no"
40615,1,3,3,4,4,3,"lenient",18,"female","Chinese","jc",2,"Chinese","no","no","computer","yes","no"
40618,1,7,5,4,3,3,"strict",19,"female","Indian","jc",2,"tamil","yes","no","computer","no","no"
40618,1,7,6,4,3,3,"lenient",19,"female","Indian","jc",2,"tamil","yes","no","computer","no","no"
40628,2,9,10,10,10,3,"strict",19,"female","Chinese","jc",3,"Chinese, Cantonese","yes","no","computer","not significant","no"
40628,2,9,10,10,10,3,"strict",19,"female","Chinese","jc",3,"Chinese, Cantonese","yes","no","computer","not significant","no"
40628,2,10,10,10,10,3,"lenient",19,"female","Chinese","jc",3,"Chinese, Cantonese","yes","no","computer","not significant","no"
40628,2,10,10,10,10,3,"lenient",19,"female","Chinese","jc",3,"Chinese, Cantonese","yes","no","computer","not significant","no"
40647,2,10,9,10,10,3,"strict",19,"female","Chinese","jc",3,"Chinese, Hokkien","yes","no","computer","not significant","no"
40647,2,10,9,10,10,3,"strict",19,"female","Chinese","jc",3,"Chinese, Hokkien","yes","no","computer","not significant","no"
40647,2,10,10,10,10,3,"lenient",19,"female","Chinese","jc",3,"Chinese, Hokkien","yes","no","computer","not significant","no"
40647,2,10,10,10,10,3,"lenient",19,"female","Chinese","jc",3,"Chinese, Hokkien","yes","no","computer","not significant","no"
40669,2,10,10,10,10,3,"strict",20,"female","Chinese","jc",3,"Vietnamese, Chinese","yes","no","computer","no","no"
40669,2,10,10,10,10,3,"strict",20,"female","Chinese","jc",3,"Vietnamese, Chinese","yes","no","computer","no","no"
